epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,8477.49,1.40631,0.62831,1.00946,0.98153,0.98385,0.98998,0.60465,1.08825,0.41392,0.79527,0.002377,0.002377,0.002377
79,8585.9,1.40263,0.62783,1.01383,0.9823,0.9852,0.9899,0.60686,1.08086,0.40994,0.79372,0.002278,0.002278,0.002278
80,8695.02,1.39968,0.62631,1.01145,0.98338,0.98555,0.9897,0.60739,1.07893,0.40944,0.79393,0.002179,0.002179,0.002179
81,8803.06,1.39329,0.62147,1.01161,0.98326,0.98525,0.98981,0.60687,1.07816,0.4102,0.79321,0.00208,0.00208,0.00208
82,8910.77,1.38729,0.62319,1.00982,0.98353,0.98526,0.98963,0.60974,1.07638,0.40833,0.79247,0.001981,0.001981,0.001981
83,9017.44,1.38227,0.6153,1.00224,0.98246,0.98654,0.98976,0.61033,1.0743,0.40635,0.79167,0.001882,0.001882,0.001882
84,9123.84,1.3845,0.61827,1.00498,0.98335,0.98675,0.99029,0.61399,1.07268,0.40504,0.79119,0.001783,0.001783,0.001783
85,9230.48,1.3716,0.6131,1.00396,0.98289,0.98696,0.99035,0.61405,1.07292,0.40557,0.79084,0.001684,0.001684,0.001684
86,9336.8,1.36528,0.60477,0.99766,0.98308,0.98577,0.99067,0.61368,1.07197,0.40483,0.78977,0.001585,0.001585,0.001585
87,9443.84,1.36965,0.60792,0.99389,0.98221,0.98686,0.99081,0.61524,1.07206,0.40393,0.7893,0.001486,0.001486,0.001486
88,9550.57,1.36189,0.60623,0.99361,0.98255,0.98707,0.99111,0.61647,1.0697,0.40307,0.78834,0.001387,0.001387,0.001387
89,9657.73,1.35745,0.60703,0.99442,0.98315,0.98663,0.99124,0.61589,1.06923,0.40308,0.78809,0.001288,0.001288,0.001288
90,9763.53,1.36099,0.60196,0.99997,0.98166,0.98741,0.99127,0.61638,1.06793,0.40454,0.78765,0.001189,0.001189,0.001189
